2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=22, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=23, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=24, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=25, msgText=梨花, msgSummary=夏天)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=26, msgText=apple, msgSummary=水果)
2020-04-09 09:15:57.954[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - 查询的记录： Message(msgId=27, msgText=orange, msgSummary=水果)
2020-04-09 09:15:57.985[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-09 09:15:57.986[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-04-09 09:15:57.990[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-09 09:15:57.999[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-09 09:17:07.093[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.mybatis.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 09:17:07.109[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 09:17:07.110[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 09:17:07.319[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.mybatis.demo.MybatisDemoApplication for test class com.example.mybatis.demo.mapper.MessageMapperTest
2020-04-09 09:17:07.459[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:17:07.486[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5038d0b5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@32115b28, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2ad48653, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6bb4dd34, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d9f158f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@45efd90f, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b8729ff, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3214ee6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@383dc82c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a07d605, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@74287ea3]
2020-04-09 09:17:08.043[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-9TIRPSPG with PID 20708 (started by hp in G:\dev\javaProject\mybatis-demo)
2020-04-09 09:17:08.045[main][main] DEBUG c.e.m.demo.mapper.MessageMapperTest - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-09 09:17:08.046[main][main] INFO  c.e.m.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:17:09.972[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
